date,entry_time,direction,entry_price,stop_loss,exit_time,exit_price,pnl_points
2021-01-01,2021-01-01 13:57:00,BEARISH,14031.65,14051.65,2021-01-01 13:57:00,14032.2,-0.5500000000010914
2021-01-04,2021-01-04 10:35:00,BEARISH,14082.75,14102.75,2021-01-04 10:35:00,14086.65,-3.899999999999636
2021-01-06,2021-01-06 12:03:00,BEARISH,14189.35,14209.35,2021-01-06 12:04:00,14189.35,0.0
2021-01-08,2021-01-08 13:40:00,BEARISH,14268.55,14288.55,2021-01-08 13:40:00,14270.0,-1.4500000000007276
2021-01-11,2021-01-11 13:05:00,BEARISH,14425.55,14445.55,2021-01-11 13:05:00,14426.65,-1.1000000000003638
2021-01-12,2021-01-12 12:01:00,BULLISH,14501.75,14481.75,2021-01-12 12:01:00,14507.25,5.5
2021-01-13,2021-01-13 12:01:00,BEARISH,14530.65,14550.65,2021-01-13 12:01:00,14533.55,-2.899999999999636
2021-01-14,2021-01-14 09:38:00,BEARISH,14491.6,14511.6,2021-01-14 09:38:00,14488.7,2.899999999999636
2021-01-15,2021-01-15 09:36:00,BEARISH,14526.1,14546.1,2021-01-15 09:36:00,14530.2,-4.100000000000364
2021-01-18,2021-01-18 10:02:00,BEARISH,14321.75,14341.75,2021-01-18 10:02:00,14328.15,-6.399999999999636
2021-01-22,2021-01-22 12:11:00,BEARISH,14480.7,14500.7,2021-01-22 12:11:00,14488.75,-8.049999999999272
2021-01-25,2021-01-25 09:41:00,BEARISH,14365.55,14385.55,2021-01-25 09:41:00,14371.5,-5.950000000000728
2021-01-27,2021-01-27 12:55:00,BEARISH,14064.6,14084.6,2021-01-27 12:55:00,14076.25,-11.649999999999636
2021-01-28,2021-01-28 11:55:00,BEARISH,13825.1,13845.1,2021-01-28 11:55:00,13826.6,-1.5
2021-01-29,2021-01-29 10:26:00,BEARISH,13817.2,13837.2,2021-01-29 10:27:00,13824.5,-7.299999999999272
2021-02-01,2021-02-01 11:22:00,BULLISH,13809.8,13789.8,2021-02-01 11:22:00,13815.6,5.800000000001091
2021-02-02,2021-02-02 11:46:00,BEARISH,14527.5,14547.5,2021-02-02 11:46:00,14525.6,1.8999999999996362
2021-02-03,2021-02-03 12:17:00,BULLISH,14832.1,14812.1,2021-02-03 12:17:00,14831.4,-0.7000000000007276
2021-02-04,2021-02-04 10:04:00,BEARISH,14736.55,14756.55,2021-02-04 10:04:00,14736.25,0.2999999999992724
2021-02-05,2021-02-05 13:12:00,BEARISH,14937.5,14957.5,2021-02-05 13:12:00,14939.7,-2.2000000000007276
2021-02-08,2021-02-08 09:45:00,BULLISH,15096.9,15076.9,2021-02-08 09:45:00,15091.55,-5.350000000000364
2021-02-09,2021-02-09 13:11:00,BULLISH,15240.95,15220.95,2021-02-09 13:11:00,15243.15,2.1999999999989086
2021-02-10,2021-02-10 09:25:00,BEARISH,15082.25,15102.25,2021-02-10 09:25:00,15084.25,-2.0
2021-02-11,2021-02-11 09:39:00,BULLISH,15137.25,15117.25,2021-02-11 09:40:00,15137.6,0.3500000000003638
2021-02-12,2021-02-12 13:42:00,BEARISH,15174.05,15194.05,2021-02-12 13:42:00,15177.1,-3.0500000000010914
2021-02-15,2021-02-15 09:49:00,BEARISH,15273.75,15293.75,2021-02-15 09:49:00,15277.45,-3.7000000000007276
2021-02-17,2021-02-17 10:02:00,BEARISH,15206.0,15226.0,2021-02-17 10:02:00,15214.3,-8.299999999999272
2021-02-18,2021-02-18 09:50:00,BEARISH,15212.05,15232.05,2021-02-18 09:50:00,15222.55,-10.5
2021-02-19,2021-02-19 10:11:00,BULLISH,15100.75,15080.75,2021-02-19 10:12:00,15107.8,7.049999999999272
2021-02-22,2021-02-22 12:08:00,BEARISH,14782.6,14802.6,2021-02-22 12:08:00,14789.3,-6.699999999998909
2021-02-23,2021-02-23 11:47:00,BEARISH,14699.2,14719.2,2021-02-23 11:47:00,14719.1,-19.899999999999636
2021-02-25,2021-02-25 09:51:00,BEARISH,15137.7,15157.7,2021-02-25 09:51:00,15146.95,-9.25
2021-02-26,2021-02-26 10:16:00,BEARISH,14862.95,14882.95,2021-02-26 10:16:00,14857.55,5.400000000001455
2021-03-02,2021-03-02 10:41:00,BEARISH,14853.4,14873.4,2021-03-02 10:41:00,14862.9,-9.5
2021-03-03,2021-03-03 12:02:00,BULLISH,15103.25,15083.25,2021-03-03 12:02:00,15101.65,-1.6000000000003638
2021-03-04,2021-03-04 11:10:00,BULLISH,15100.0,15080.0,2021-03-04 11:11:00,15126.55,26.549999999999272
2021-03-05,2021-03-05 10:10:00,BULLISH,15085.25,15065.25,2021-03-05 10:10:00,15081.0,-4.25
2021-03-08,2021-03-08 12:07:00,BEARISH,15008.95,15028.95,2021-03-08 12:07:00,15008.05,0.9000000000014552
2021-03-09,2021-03-09 09:48:00,BEARISH,15054.5,15074.5,2021-03-09 09:48:00,15058.65,-4.149999999999636
2021-03-10,2021-03-10 11:26:00,BEARISH,15138.0,15158.0,2021-03-10 11:26:00,15149.15,-11.149999999999636
2021-03-12,2021-03-12 12:15:00,BEARISH,15254.1,15274.1,2021-03-12 12:15:00,15248.9,5.200000000000728
2021-03-15,2021-03-15 10:57:00,BEARISH,14845.75,14865.75,2021-03-15 10:57:00,14845.3,0.4500000000007276
2021-03-16,2021-03-16 10:30:00,BULLISH,15019.4,14999.4,2021-03-16 10:31:00,15034.8,15.399999999999636
2021-03-17,2021-03-17 10:17:00,BEARISH,14854.65,14874.65,2021-03-17 10:17:00,14856.35,-1.7000000000007276
2021-03-18,2021-03-18 10:36:00,BEARISH,14777.8,14797.8,2021-03-18 10:36:00,14778.55,-0.75
2021-03-19,2021-03-19 10:04:00,BULLISH,14481.0,14461.0,2021-03-19 10:04:00,14474.4,-6.600000000000364
2021-03-22,2021-03-22 10:01:00,BEARISH,14698.5,14718.5,2021-03-22 10:01:00,14703.35,-4.850000000000364
2021-03-23,2021-03-23 09:52:00,BULLISH,14810.45,14790.45,2021-03-23 09:52:00,14810.15,-0.3000000000010914
2021-03-24,2021-03-24 10:20:00,BEARISH,14632.7,14652.7,2021-03-24 10:20:00,14642.3,-9.599999999998545
2021-03-25,2021-03-25 12:05:00,BEARISH,14316.95,14336.95,2021-03-25 12:05:00,14321.05,-4.099999999998545
2021-03-26,2021-03-26 10:22:00,BULLISH,14496.6,14476.6,2021-03-26 10:22:00,14509.6,13.0
2021-03-30,2021-03-30 10:06:00,BULLISH,14721.75,14701.75,2021-03-30 10:06:00,14729.15,7.399999999999636
2021-03-31,2021-03-31 11:33:00,BEARISH,14722.15,14742.15,2021-03-31 11:33:00,14723.9,-1.75
2021-04-01,2021-04-01 10:14:00,BEARISH,14771.35,14791.35,2021-04-01 10:15:00,14772.0,-0.6499999999996362
2021-04-05,2021-04-05 09:58:00,BEARISH,14690.75,14710.75,2021-04-05 09:58:00,14693.7,-2.9500000000007276
2021-04-06,2021-04-06 10:16:00,BEARISH,14710.35,14730.35,2021-04-06 10:16:00,14690.3,20.05000000000109
2021-04-07,2021-04-07 09:44:00,BULLISH,14767.5,14747.5,2021-04-07 09:44:00,14772.45,4.950000000000728
2021-04-09,2021-04-09 10:11:00,BULLISH,14913.5,14893.5,2021-04-09 10:11:00,14907.75,-5.75
2021-04-12,2021-04-12 10:16:00,BEARISH,14428.8,14448.8,2021-04-12 10:16:00,14430.65,-1.8500000000003638
2021-04-15,2021-04-15 11:02:00,BEARISH,14387.15,14407.15,2021-04-15 11:02:00,14391.75,-4.600000000000364
2021-04-16,2021-04-16 09:21:00,BEARISH,14604.25,14624.25,2021-04-16 09:21:00,14572.2,32.04999999999927
2021-04-19,2021-04-19 13:59:00,BULLISH,14359.65,14339.65,2021-04-19 13:59:00,14354.05,-5.600000000000364
2021-04-20,2021-04-20 11:07:00,BEARISH,14427.15,14447.15,2021-04-20 11:07:00,14426.45,0.6999999999989086
2021-04-22,2021-04-22 13:03:00,BULLISH,14364.15,14344.15,2021-04-22 13:03:00,14361.3,-2.850000000000364
2021-04-23,2021-04-23 10:27:00,BULLISH,14403.85,14383.85,2021-04-23 10:27:00,14404.25,0.3999999999996362
2021-04-26,2021-04-26 10:01:00,BULLISH,14549.9,14529.9,2021-04-26 10:01:00,14546.35,-3.5499999999992724
2021-04-27,2021-04-27 09:54:00,BULLISH,14558.7,14538.7,2021-04-27 09:54:00,14562.0,3.2999999999992724
2021-04-28,2021-04-28 10:06:00,BULLISH,14755.6,14735.6,2021-04-28 10:06:00,14754.4,-1.2000000000007276
2021-04-29,2021-04-29 09:50:00,BEARISH,14957.15,14977.15,2021-04-29 09:50:00,14953.6,3.5499999999992724
2021-04-30,2021-04-30 10:07:00,BEARISH,14803.3,14823.3,2021-04-30 10:07:00,14812.0,-8.700000000000728
2021-05-03,2021-05-03 10:41:00,BULLISH,14574.35,14554.35,2021-05-03 10:41:00,14569.0,-5.350000000000364
2021-05-04,2021-05-04 09:43:00,BEARISH,14636.4,14656.4,2021-05-04 09:43:00,14629.05,7.350000000000364
2021-05-05,2021-05-05 10:02:00,BULLISH,14594.1,14574.1,2021-05-05 10:02:00,14593.15,-0.9500000000007276
2021-05-06,2021-05-06 10:17:00,BEARISH,14630.8,14650.8,2021-05-06 10:17:00,14618.95,11.849999999998545
2021-05-07,2021-05-07 10:46:00,BEARISH,14795.65,14815.65,2021-05-07 10:46:00,14797.65,-2.0
2021-05-10,2021-05-10 13:16:00,BEARISH,14924.3,14944.3,2021-05-10 13:16:00,14926.35,-2.0500000000010914
2021-05-11,2021-05-11 11:17:00,BULLISH,14845.3,14825.3,2021-05-11 11:17:00,14840.5,-4.799999999999272
2021-05-12,2021-05-12 12:26:00,BULLISH,14760.7,14740.7,2021-05-12 12:26:00,14762.0,1.2999999999992724
2021-05-14,2021-05-14 09:23:00,BEARISH,14669.2,14689.2,2021-05-14 09:23:00,14670.25,-1.0499999999992724
2021-05-17,2021-05-17 10:16:00,BULLISH,14817.6,14797.6,2021-05-17 10:16:00,14811.95,-5.649999999999636
2021-05-18,2021-05-18 10:41:00,BULLISH,15096.1,15076.1,2021-05-18 10:41:00,15090.5,-5.600000000000364
