date,entry_time,exit_time,direction,option_type,entry_spot,exit_spot,strike,expiry,days_to_expiry,vix,sigma_used,entry_option_px,exit_option_px,spot_pnl_points,option_pnl_per_unit,option_pnl_rupees,option_pnl_pct
2021-06-10,2021-06-10 11:01:00,2021-06-10 11:01:00,BULLISH,CE,15718.35,15716.1,15700,2021-06-17,7,14.97,0.1497,149.67,148.44,-2.25,-1.24,-61.77,-0.83
2021-06-14,2021-06-14 13:23:00,2021-06-14 13:23:00,BULLISH,CE,15765.95,15781.45,15750,2021-06-17,3,14.65,0.1465,96.22,104.95,15.5,8.74,436.77,9.08
2021-06-16,2021-06-16 13:09:00,2021-06-16 13:09:00,BEARISH,PE,15774.9,15777.8,15750,2021-06-17,1,15.11,0.1511,37.1,35.92,-2.899999999999636,-1.18,-58.87,-3.17
2021-07-12,2021-07-12 11:01:00,2021-07-12 11:01:00,BULLISH,CE,15784.2,15781.7,15800,2021-07-15,3,13.0,0.13,70.61,69.4,-2.5,-1.21,-60.49,-1.71
2021-07-20,2021-07-20 12:06:00,2021-07-20 12:06:00,BEARISH,PE,15585.45,15581.3,15600,2021-07-22,2,13.31,0.1331,65.88,68.07,4.150000000001455,2.19,109.3,3.32
2021-07-26,2021-07-26 13:14:00,2021-07-26 13:14:00,BEARISH,PE,15851.1,15851.25,15850,2021-07-29,3,12.46,0.1246,66.73,66.66,-0.1499999999996362,-0.07,-3.57,-0.11
2021-07-28,2021-07-28 13:20:00,2021-07-28 13:20:00,BULLISH,CE,15674.15,15674.85,15650,2021-07-29,1,13.7,0.137,59.55,59.97,0.7000000000007276,0.42,20.91,0.7
2021-08-09,2021-08-09 13:11:00,2021-08-09 13:11:00,BEARISH,PE,16225.4,16226.55,16250,2021-08-12,3,12.65,0.1265,82.5,81.89,-1.1499999999996362,-0.61,-30.51,-0.74
2021-08-16,2021-08-16 11:05:00,2021-08-16 11:05:00,BULLISH,CE,16547.1,16557.85,16550,2021-08-19,3,13.53,0.1353,83.96,89.6,10.75,5.64,282.01,6.72
2021-08-25,2021-08-25 11:24:00,2021-08-25 11:25:00,BULLISH,CE,16691.6,16696.95,16700,2021-08-26,1,13.49,0.1349,44.36,47.0,5.350000000002183,2.63,131.64,5.93
2021-09-06,2021-09-06 13:21:00,2021-09-06 13:21:00,BEARISH,PE,17372.3,17371.0,17350,2021-09-09,3,15.15,0.1515,80.15,80.73,1.2999999999992724,0.58,28.97,0.72
2021-09-16,2021-09-16 12:09:00,2021-09-16 12:09:00,BULLISH,CE,17575.35,17576.15,17600,2021-09-23,7,14.51,0.1451,139.54,139.94,0.8000000000029104,0.4,20.06,0.29
2021-09-20,2021-09-20 11:08:00,2021-09-20 11:08:00,BULLISH,CE,17604.85,17602.6,17600,2021-09-23,3,17.8,0.178,120.56,119.39,-2.25,-1.17,-58.69,-0.97
2021-09-24,2021-09-24 13:21:00,2021-09-24 13:21:00,BULLISH,CE,17860.25,17853.6,17850,2021-09-30,6,17.02,0.1702,170.45,166.92,-6.650000000001455,-3.53,-176.54,-2.07
