date,year,entry_time,direction,spot_pnl_pts,futures_gross_rs,futures_net_rs,options_gross_rs,options_net_rs
2021-06-10,2021,2021-06-10 11:01:00,BULLISH,-2.25,-112.5,-712.5,-61.77,-121.77000000000001
2021-06-14,2021,2021-06-14 13:23:00,BULLISH,15.5,775.0,175.0,436.77,376.77
2021-06-16,2021,2021-06-16 13:09:00,BEARISH,-2.899999999999636,-144.9999999999818,-744.9999999999818,-58.87,-118.87
2021-07-12,2021,2021-07-12 11:01:00,BULLISH,-2.5,-125.0,-725.0,-60.49,-120.49000000000001
2021-07-20,2021,2021-07-20 12:06:00,BEARISH,4.150000000001455,207.50000000007276,-392.49999999992724,109.3,49.3
2021-07-28,2021,2021-07-28 13:20:00,BULLISH,0.7000000000007276,35.00000000003638,-564.9999999999636,20.91,-39.09
2021-08-16,2021,2021-08-16 11:05:00,BULLISH,10.75,537.5,-62.5,282.01,222.01
2021-08-25,2021,2021-08-25 11:24:00,BULLISH,5.350000000002183,267.50000000010914,-332.49999999989086,131.64,71.63999999999999
2021-09-06,2021,2021-09-06 13:21:00,BEARISH,1.2999999999992724,64.99999999996362,-535.0000000000364,28.97,-31.03
2021-09-16,2021,2021-09-16 12:09:00,BULLISH,0.8000000000029104,40.00000000014552,-559.9999999998545,20.06,-39.94
2021-09-20,2021,2021-09-20 11:08:00,BULLISH,-2.25,-112.5,-712.5,-58.69,-118.69
2021-09-24,2021,2021-09-24 13:21:00,BULLISH,-6.650000000001455,-332.50000000007276,-932.5000000000728,-176.54,-236.54
2021-09-28,2021,2021-09-28 12:20:00,BEARISH,-1.7000000000007276,-85.00000000003638,-685.0000000000364,-40.23,-100.22999999999999
2021-10-18,2021,2021-10-18 11:13:00,BEARISH,-3.200000000000728,-160.0000000000364,-760.0000000000364,-78.05,-138.05
2021-10-19,2021,2021-10-19 11:25:00,BULLISH,7.650000000001455,382.50000000007276,-217.49999999992724,208.7,148.7
2021-10-28,2021,2021-10-28 12:28:00,BEARISH,-0.5,-25.0,-625.0,-12.07,-72.07
2021-11-15,2021,2021-11-15 11:28:00,BEARISH,4.19999999999709,209.99999999985448,-390.0000000001455,95.66,35.66
2021-11-22,2021,2021-11-22 12:10:00,BEARISH,-31.450000000000728,-1572.5000000000364,-2172.5000000000364,-763.15,-823.15
2021-11-23,2021,2021-11-23 11:29:00,BULLISH,40.44999999999709,2022.4999999998545,1422.4999999998545,1158.31,1098.31
2021-12-03,2021,2021-12-03 13:14:00,BEARISH,-5.0,-250.0,-850.0,-122.47,-182.47
2021-12-13,2021,2021-12-13 11:13:00,BEARISH,-3.6999999999970896,-184.99999999985448,-784.9999999998545,-82.99,-142.99
2021-12-15,2021,2021-12-15 12:02:00,BEARISH,-2.0,-100.0,-700.0,-51.36,-111.36
2021-12-17,2021,2021-12-17 11:24:00,BEARISH,-9.75,-487.5,-1087.5,-237.59,-297.59000000000003
2021-12-24,2021,2021-12-24 13:04:00,BULLISH,0.2999999999992724,14.99999999996362,-585.0000000000364,8.14,-51.86
